Guyana;GUY;GDP per capita (current US$);NY.GDP.PCAP.CD;5444,39751913913;5640,41560569466;6048,38697180418
High income;HIC;GDP per capita (current US$);NY.GDP.PCAP.CD;38757,333549902;36650,4490056998;41180,3426854104
Hong Kong SAR, China;HKG;GDP per capita (current US$);NY.GDP.PCAP.CD;36730,796195815;42432,1619740441;48537,5668888343
Honduras;HND;GDP per capita (current US$);NY.GDP.PCAP.CD;2126,03474686503;2271,20265980349;2464,64241531918
Heavily indebted poor countries (HIPC);HPC;GDP per capita (current US$);NY.GDP.PCAP.CD;868,154967280184;909,494352340789;968,18729528141
Croatia;HRV;GDP per capita (current US$);NY.GDP.PCAP.CD;13508,6836989693;12285,3032582105;15460,4183295843
Haiti;HTI;GDP per capita (current US$);NY.GDP.PCAP.CD;1361,39396587374;1411,12684746796;1496,38048970156
Hungary;HUN;GDP per capita (current US$);NY.GDP.PCAP.CD;12984,8365730133;12717,038597002;16425,2050299693
IBRD only;IBD;GDP per capita (current US$);NY.GDP.PCAP.CD;5583,76223642554;5525,00490743408;6376,20637613022
IDA & IBRD total;IBT;GDP per capita (current US$);NY.GDP.PCAP.CD;4504,30020456011;4458,11083061724;5071,47780601742
IDA total;IDA;GDP per capita (current US$);NY.GDP.PCAP.CD;1257,6289139483;1346,69693190726;1405,59717231873
IDA blend;IDB;GDP per capita (current US$);NY.GDP.PCAP.CD;1858,02047371817;1953,90145153229;1856,81876322366
Indonesia;IDN;GDP per capita (current US$);NY.GDP.PCAP.CD;3632,272540431;3288,22269737572;3860,95353077708
IDA only;IDX;GDP per capita (current US$);NY.GDP.PCAP.CD;950,907162941154;1036,87089667356;1177,52764226474
Isle of Man;IMN;GDP per capita (current US$);NY.GDP.PCAP.CD;79329,2034347434;84753,5187422732;89393,8244248812
India;IND;GDP per capita (current US$);NY.GDP.PCAP.CD;1429,32199520032;1583,99815907985;1966,25455171679
Not classified;INX;GDP per capita (current US$);NY.GDP.PCAP.CD;;;
Ireland;IRL;GDP per capita (current US$);NY.GDP.PCAP.CD;49411,7387476787;64311,8234684057;81248,3135388
Iran, Islamic Rep.;IRN;GDP per capita (current US$);NY.GDP.PCAP.CD;8114,08099831877;4952,73355532178;4631,78709016514
Iraq;IRQ;GDP per capita (current US$);NY.GDP.PCAP.CD;6477,59618450955;4440,14189252367;5646,68932074742
Iceland;ISL;GDP per capita (current US$);NY.GDP.PCAP.CD;45995,5478789467;52951,6815110898;74452,1890731447
Israel;ISR;GDP per capita (current US$);NY.GDP.PCAP.CD;33236,5731239421;36123,9907881129;42233,2610344935
Italy;ITA;GDP per capita (current US$);NY.GDP.PCAP.CD;35235,7989058242;30387,1293187854;34746,3441392416
Jamaica;JAM;GDP per capita (current US$);NY.GDP.PCAP.CD;5340,83333232158;5062,89556466908;5578,10346083169
Jordan;JOR;GDP per capita (current US$);NY.GDP.PCAP.CD;4169,50470054618;4042,75678097555;4145,43989673265
Japan;JPN;GDP per capita (current US$);NY.GDP.PCAP.CD;49145,2804308193;34960,6393843385;39751,1330982711
Kazakhstan;KAZ;GDP per capita (current US$);NY.GDP.PCAP.CD;12018,7966527993;10196,1226255982;9472,48527327758
Kenya;KEN;GDP per capita (current US$);NY.GDP.PCAP.CD;1285,00536171512;1489,11959777284;1836,45275528993
Kyrgyz Republic;KGZ;GDP per capita (current US$);NY.GDP.PCAP.CD;1168,62244675446;1105,65202996955;1283,52040333083
Cambodia;KHM;GDP per capita (current US$);NY.GDP.PCAP.CD;1192,80263041673;1547,32010444393;2036,67377566578
Kiribati;KIR;GDP per capita (current US$);NY.GDP.PCAP.CD;1843,55346948038;1639,85274301496;1912,73798131035
St. Kitts and Nevis;KNA;GDP per capita (current US$);NY.GDP.PCAP.CD;17532,0559008608;20328,8003530109;22901,3816403197
Korea, Rep.;KOR;GDP per capita (current US$);NY.GDP.PCAP.CD;25459,1689000965;28737,4391706499;33447,1562836166
Kuwait;KWT;GDP per capita (current US$);NY.GDP.PCAP.CD;52155,2225460479;29882,2126867068;32067,9623689512
Latin America & Caribbean (excluding high income);LAC;GDP per capita (current US$);NY.GDP.PCAP.CD;9826,01988585737;8337,14599402852;8504,73822009603
Lao PDR;LAO;GDP per capita (current US$);NY.GDP.PCAP.CD;1563,5650771337;2121,01339097363;2545,1075420815
Lebanon;LBN;GDP per capita (current US$);NY.GDP.PCAP.CD;8406,98405608118;7714,1099998804;9174,53666204759
Liberia;LBR;GDP per capita (current US$);NY.GDP.PCAP.CD;638,368751462083;692,590082351257;692,203127129794
Libya;LBY;GDP per capita (current US$);NY.GDP.PCAP.CD;14975,8902795144;7458,48917756374;11196,5854810844
St. Lucia;LCA;GDP per capita (current US$);NY.GDP.PCAP.CD;9260,30006551714;10334,9225558425;11642,7403185172
Latin America & Caribbean;LCN;GDP per capita (current US$);NY.GDP.PCAP.CD;10344,625186318;8759,80639725635;9034,70781075096
